game_id,player_id,team_id,completions,pass_attempts,passing_yards,passing_td,interception,times_sacked,sack_yards,longest_pass,qbr,rush_attempts,rushing_yards,rushing_td,longest_run,receptions,receiving_yards,receiving_td,longest_reception,fumble,fumbles_lost
2019,285,3,0,0,0,0,0,0,0,0,,0,0,0,0,3,28,0,11,0,0
2019,391,3,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
2018,79,6,28,48,505,3,0,1,5,50,115.4,1,6,0,6,0,0,0,0,1,1
2018,402,6,0,1,0,0,0,0,0,0,39.6,0,0,0,0,8,152,0,50,0,0
2018,363,6,0,0,0,0,0,0,0,0,,7,45,1,26,2,21,0,15,0,0
2018,392,6,0,0,0,0,0,0,0,0,,9,39,0,8,0,0,0,0,0,0
2018,236,6,0,0,0,0,0,0,0,0,,3,18,0,9,1,46,0,46,0,0
2018,61,6,0,0,0,0,0,0,0,0,,1,4,0,4,6,128,1,43,0,0
2018,403,6,0,0,0,0,0,0,0,0,,1,1,0,1,1,23,0,23,0,0
2018,215,6,0,0,0,0,0,0,0,0,,0,0,0,0,9,116,2,25,0,0
2018,63,6,0,0,0,0,0,0,0,0,,0,0,0,0,1,19,0,19,0,0
2018,349,6,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
2018,44,25,28,43,373,3,1,0,0,55,106.1,0,0,0,0,1,1,1,1,0,0
2018,466,25,1,1,1,1,0,0,0,1,118.7,0,0,0,0,0,0,0,0,0,0
2018,384,25,0,0,0,0,0,0,0,0,,14,90,1,36,0,0,0,0,0,0
2018,9,25,0,0,0,0,0,0,0,0,,9,57,0,26,0,0,0,0,0,0
2018,234,25,0,0,0,0,0,0,0,0,,1,9,0,9,9,84,0,24,0,0
2018,24,25,0,0,0,0,0,0,0,0,,3,8,0,6,4,100,1,55,0,0
2018,319,25,0,0,0,0,0,0,0,0,,0,0,0,0,3,73,1,34,0,0
2018,415,25,0,0,0,0,0,0,0,0,,0,0,0,0,7,67,1,19,0,0
2018,83,25,0,0,0,0,0,0,0,0,,0,0,0,0,5,49,0,17,0,0
2017,216,14,17,23,284,2,0,5,44,39,144.1,0,0,0,0,0,0,0,0,1,1
2017,190,14,0,0,0,0,0,0,0,0,,11,75,1,37,2,46,0,39,0,0
2017,428,14,0,0,0,0,0,0,0,0,,7,29,0,9,1,6,1,6,0,0
2017,237,14,0,0,0,0,0,0,0,0,,0,0,0,0,4,87,0,27,0,0
2017,148,14,0,0,0,0,0,0,0,0,,0,0,0,0,3,76,0,35,0,0
2017,60,14,0,0,0,0,0,0,0,0,,0,0,0,0,3,32,1,19,0,0
2017,188,14,0,0,0,0,0,0,0,0,,0,0,0,0,2,25,0,13,0,0
2017,27,14,0,0,0,0,0,0,0,0,,0,0,0,0,2,12,0,10,0,0
2017,79,6,43,62,466,2,1,5,24,28,95.2,1,15,0,15,0,0,0,0,0,0
2017,488,6,0,1,0,0,0,0,0,0,39.6,1,2,0,2,5,87,0,27,0,0
2017,384,6,0,0,0,0,0,0,0,0,,11,31,0,9,0,0,0,0,1,1
2017,363,6,0,0,0,0,0,0,0,0,,6,29,2,10,14,110,1,28,0,0
2017,392,6,0,0,0,0,0,0,0,0,,6,27,0,13,1,2,0,2,0,0
2017,402,6,0,0,0,0,0,0,0,0,,0,0,0,0,8,78,1,20,0,0
2017,398,6,0,0,0,0,0,0,0,0,,0,0,0,0,6,70,0,18,0,0
2017,431,6,0,0,0,0,0,0,0,0,,0,0,0,0,5,62,0,25,0,0
2017,61,6,0,0,0,0,0,0,0,0,,0,0,0,0,4,57,0,18,0,0
2016,303,15,18,41,265,0,1,6,64,45,55.4,6,45,0,14,0,0,0,0,2,2
2016,437,15,0,0,0,0,0,1,4,0,,0,0,0,0,4,74,0,45,0,0
2016,149,15,0,0,0,0,0,0,0,0,,12,29,1,12,1,-1,0,-1,0,0
2016,37,15,0,0,0,0,0,0,0,0,,4,26,0,15,1,14,0,8,0,0
2016,291,15,0,0,0,0,0,0,0,0,,5,18,0,11,0,0,0,0,2,1
2016,70,15,0,0,0,0,0,0,0,0,,0,0,0,0,4,80,0,42,0,0
2016,331,15,0,0,0,0,0,0,0,0,,0,0,0,0,4,41,0,19,0,0
2016,167,15,0,0,0,0,0,0,0,0,,0,0,0,0,2,40,0,24,0,0
2016,130,15,0,0,0,0,0,0,0,0,,0,0,0,0,2,17,0,11,0,0
2016,199,4,13,23,141,0,1,5,37,25,56.6,0,0,0,0,0,0,0,0,2,1
2016,181,4,0,0,0,0,0,0,0,0,,23,90,1,34,4,10,0,7,0,0
2016,131,4,0,0,0,0,0,0,0,0,,0,0,0,0,6,83,0,25,0,0
2016,292,4,0,0,0,0,0,0,0,0,,0,0,0,0,1,22,0,22,0,0
2016,454,4,0,0,0,0,0,0,0,0,,0,0,0,0,1,18,0,18,0,0
2016,222,4,0,0,0,0,0,0,0,0,,0,0,0,0,1,8,0,8,0,0
2016,389,4,0,0,0,0,0,0,0,0,,5,0,0,3,0,0,0,0,0,0
2016,373,4,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
2015,79,6,37,50,328,4,2,1,8,23,101.1,2,-3,0,-1,0,0,0,0,0,0
2015,384,6,0,0,0,0,0,0,0,0,,14,40,0,9,0,0,0,0,0,0
2015,370,6,0,0,0,0,0,0,0,0,,4,13,0,7,11,64,0,16,0,0
2015,488,6,0,0,0,0,0,0,0,0,,1,7,0,7,9,109,1,23,0,0
2015,215,6,0,0,0,0,0,0,0,0,,0,0,0,0,6,68,1,22,0,0
2015,402,6,0,0,0,0,0,0,0,0,,0,0,0,0,5,48,1,17,0,0
2015,221,6,0,0,0,0,0,0,0,0,,0,0,0,0,4,29,1,11,0,0
2015,349,6,0,0,0,0,0,0,0,0,,0,0,0,0,1,6,0,6,0,0
2015,469,6,0,0,0,0,0,0,0,0,,0,0,0,0,1,4,0,4,0,0
2015,438,9,12,21,247,2,1,3,13,45,110.6,3,39,0,17,0,0,0,0,0,0
2015,117,9,0,0,0,0,0,0,0,0,,24,102,1,15,1,31,0,31,0,0
2015,76,9,0,0,0,0,0,0,0,0,,2,21,0,19,0,0,0,0,0,0
2015,58,9,0,0,0,0,0,0,0,0,,0,0,0,0,4,109,1,45,0,0
2015,380,9,0,0,0,0,0,0,0,0,,0,0,0,0,3,59,0,25,0,0
2015,85,9,0,0,0,0,0,0,0,0,,0,0,0,0,3,45,0,33,0,0
2015,269,9,0,0,0,0,0,0,0,0,,0,0,0,0,1,3,1,3,0,0
2015,94,9,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
2014,199,4,34,49,280,1,2,1,1,23,73.5,1,0,0,0,0,0,0,0,1,1
2014,122,4,0,0,0,0,0,0,0,0,,5,17,0,9,3,20,0,7,1,0
2014,181,4,0,0,0,0,0,0,0,0,,2,9,0,6,1,14,0,14,0,0
2014,223,4,0,0,0,0,0,0,0,0,,6,1,0,3,2,2,0,1,0,0
2014,222,4,0,0,0,0,0,0,0,0,,0,0,0,0,13,118,1,23,1,1
2014,103,4,0,0,0,0,0,0,0,0,,0,0,0,0,8,84,0,22,0,0
2014,493,4,0,0,0,0,0,0,0,0,,0,0,0,0,4,27,0,11,0,0
2014,268,4,0,0,0,0,0,0,0,0,,0,0,0,0,2,9,0,11,0,0
2014,233,4,0,0,0,0,0,0,0,0,,0,0,0,0,1,6,0,6,0,0
2014,438,9,18,25,206,2,0,0,0,37,123.1,3,26,0,16,0,0,0,0,0,0
